,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Trade,,,,Iran,,,,Inflation,,,,Borders,,,,Welfare,,,,Budget,,,,Transit,,,,,,,,,,
100,1501,4946,,,,78,,,X,,,,,X,,,X,,,,X,,,,X,,,,,X,,X,,,,Tyrone,Long,50,Male,White,Holmesburg,19136,02-78.png
100,489,,,,,79,,,X,,,,X,,,,X,,,,X,,,,X,,,,,X,,,,X,,Isabella,Young,65,Female,Black,Morrell Park,19114,02-79.png
100,296,,,,,80,,,X,,,,X,,,,X,,,,X,,,,X,,,,,X,,,,X,,Vic,Vargas,51,Male,Hispanic,North Philadelphia,19120,02-80.png
100,478,,,,,81,,,X,,,,,X,,,X,,,,X,,,,X,,,,,X,,,,X,,Olivia,Gray,34,Female,White,Center City,19102,02-81.png
100,1721,4620,,,,82,,,X,,,,X,,,,X,,,,X,,,,X,,,,,X,,,,X,,Alex,Chan,38,Male,Asian,Hunting Park,19140,02-82.png
100,895,,,,,83,,,X,,,,X,,,,X,,,,X,,,,X,,,,,X,,,,X,,Monica,Howard,53,Female,Black,West Kensington,19133,02-83.png
100,547,,,,,84,,,X,,,X,,,,,X,,,,X,,,,X,,,,,X,,,,X,,Jordan,Hughes,66,Male,White,Krewstown,19115,02-84.png
100,369,,,,,85,,,X,,,X,,,,,X,,,,X,,,,X,,,,,X,,,,X,,Diego,Ortiz,52,Female,Hispanic,Center City,19102,02-85.png
100,489,,,,,86,,,,X,,,X,,,,X,,,,X,,,,X,,,,,X,,,,X,,Kaleb,Ward,67,Male,Black,North Philadelphia West,19132,02-86.png
100,2352,7280,10254,,,87,,,X,,,,X,,,,X,,,,X,,,,,X,,,,X,,,,X,,Elizabeth,Brooks,54,Female,White,Northeast Philadelphia,19111,02-87.png
100,425,,,,,88,,,,X,,,X,,,,,X,,,,X,,,X,,,,,X,,X,,,,Ahmad,Watson,37,Male,Multiracial,North Philadelphia East,19121,02-88.png
100,299,,,,,89,,,X,,,,,X,,,X,,,,X,,,,X,,,,,X,,X,,,,Ava,Ruiz,45,Female,Hispanic,North Philadelphia,19120,02-89.png
100,369,,,,,90,,,,X,,,X,,,,X,,,,X,,,,X,,,,,X,,X,,,,Jerome,Wood,51,Male,White,Center City,19102,02-90.png
100,416,,,,,91,,,X,,,,X,,,,,X,,,X,,,,,X,,,,X,,,,X,,Madison,Cox,68,Female,Black,Glenwood,19132,02-91.png
100,1525,4769,,,,92,,,X,,,,,X,,,X,,,,X,,,,X,,,,,X,,,,X,,Dante,Tito,46,Male,Hispanic,Harrowgate,19134,02-92.png
100,659,,,,,93,,,,X,,,X,,,,,X,,,X,,,,,X,,,,X,,,,X,,Charlotte,Kelly,69,Female,White,Hartranft,19133,02-93.png
100,741,,,,,94,,,X,,,,X,,,,X,,,,,X,,,X,,,,,X,,,,X,,Terrell,Reed,47,Male,Multiracial,Tacony,19135,02-94.png
100,1820,6652,8542,,,95,,,,X,,,,X,,,,X,,,X,,,,X,,,,,X,,,,X,,Lola,Garcia,36,Female,Hispanic,North Philadelphia West,19132,02-95.png
100,415,,,,,96,,,,X,,,,X,,,X,,,,X,,,,X,,,,,X,,,,X,,Jack,Cooper,70,Male,White,Northeast Philadelphia,19111,02-96.png
100,654,,,,,97,,,,X,,,X,,,,X,,,,,X,,,,X,,,,X,,X,,,,Evelyn,Kim,48,Female,Multiracial,North Philadelphia East,19121,02-97.png
100,1734,5096,,,,98,,,X,,,,,X,,,,X,,,,X,,,,X,,,,X,,,,X,,Xavier,Torres,71,Male,Hispanic,Wissinoming,19137,02-98.png
100,596,,,,,99,,,,X,,,,X,,,,X,,,,X,,,,X,,,,X,,X,,,,Diane,Bennett,50,Female,White,Fishtown,19125,02-99.png
100,489,,,,,100,,,X,,,,X,,,,X,,,,X,,,,X,,,,,X,,X,,,,Hassan,Kumar,49,Male,Asian,Norris Square,19122,02-100.png
100,333,,,,,101,,,X,,,X,,,,,X,,,X,,,,,X,,,X,,,,,,X,,Zoe,Smith,35,Female,White,North Philadelphia,19120,02-101.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,2,1,,,34,50,16,,44,48,8,,40,54,6,,38,55,7,,45,49,6,,44,0,56,,52,0,48,,,,,,,,,
10000,80014,120008,129740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10,000","20,000","40,000","60,000","80,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Participation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,3,2,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avg Endorsements / Participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
